university,year,rank,egescore_avg,egescore_contract,egescore_min,olympiad_winners,olympiad_other,target_admission_share,magistracy_share,aspirantura_share,external_masters,external_grad_share,aspirants_per_100_students,target_contract_in_tech,foreign_students_share,foreign_non_cis,foreign_cis,foreign_graduated,mobility_outbound,foreign_staff_share,foreign_professors,niokr_total,niokr_share_total,niokr_own_share,niokr_per_npr,npr_with_degree_percent,npr_per_100_students,ppc_salary_index,avg_salary_grads,scopus_publications,risc_publications,risc_citations,foreign_niokr_income,foreign_edu_income,total_income_per_student,self_income_per_npr,self_income_share,lib_books_per_student,area_per_student,pc_per_student,young_npr_share,journals_published,grants_per_100_npr,competition
СПбПУ,2022,6,79.88,72.74,59.74,1,132,3.72,21.06,23.77,41.34,42.84,3.98,2.71,18.54,10.69,7.84,15.72,0.48,10.21,72,2357703.70,20.46,94.81,1262.76,74.56,4.10,237.25,85600,45.6,382.20,5562.58,32835.90,75412.30,486.03,3105.44,50.15,121.39,14.22,0.37,22.57,16,16.55,7.1
ТПУ,2022,8,74.66,66.13,54.41,0,52,2.88,30.60,36.24,42.49,39.52,9.37,2.72,25.58,6.30,19.28,25.69,1.74,3.37,60,1655049.50,30.20,99.26,1442.81,77.45,7.05,221.52,78200,34.7,125.19,1165.20,90600.00,3896.80,589.65,1918.30,40.81,247.84,18.08,0.86,21.18,4,8.72,6.2
МГТУ им. Баумана,2022,3,79.79,70.97,52.05,4,197,14.46,10.23,12.86,25.74,27.21,3.86,23.36,5.52,3.51,2.00,7.60,0.08,0.31,0,2654579.70,22.33,83.61,1345.97,63.52,5.23,199.51,98700,67.8,299.56,3735.78,3001.60,60090.70,681.76,2012.46,27.22,114.78,11.80,0.39,11.29,9,3.75,8.9
МГУ,2022,1,84.28,75.67,62.18,230,265,1.16,24.97,32.44,43.53,58.15,11.13,0.93,13.40,11.44,1.96,14.95,0.54,0.42,40,7752989.00,20.23,97.60,970.01,83.51,10.36,206.20,112400,89.2,171.12,2827.46,206.90,271607.50,1039.21,1989.24,41.49,271.12,26.77,0.67,7.79,40,16.25,7.8
ДГТУ,2022,30,63.58,64.51,49.55,0,0,1.72,11.16,12.32,17.82,71.13,2.22,2.23,7.90,6.11,1.80,7.07,0.05,0.11,2,276138.60,4.63,100.00,154.58,68.66,4.14,213.19,51200,18.9,136.76,264.83,0.00,72442.00,314.32,739.78,22.14,82.81,9.61,0.19,12.83,10,2.63,2.4
МФТИ,2022,2,94.1,85.2,78.3,45,120,8.5,35.2,28.7,38.9,45.6,15.2,12.3,15.2,12.1,3.1,18.9,2.1,8.9,25,4850000,32.5,92.3,1850.4,85.3,12.8,245.6,136500,124.5,210.45,4120.8,12500,89500,1250.8,2850.6,45.8,156.3,18.9,0.92,28.4,8,25.3,13.2
ВШЭ,2022,4,88.6,79.3,65.8,68,185,6.8,42.3,35.8,52.4,48.9,8.9,4.2,12.8,9.2,3.6,16.7,3.2,12.4,45,3200000,25.6,88.7,1420.3,78.9,8.9,235.8,104800,92.3,185.67,3245.9,15600,124500,956.3,2450.8,38.9,189.4,14.8,0.78,24.7,12,18.9,10.5
МИФИ,2022,5,86.3,76.8,68.9,32,145,12.3,28.9,31.2,41.2,43.8,12.3,18.7,8.5,6.8,1.7,12.4,1.2,4.8,18,4100000,35.2,94.5,1689.7,82.15,9.8,248.9,118900,78.9,195.23,3890.4,8900,78500,1124.5,2678.9,42.3,167.8,16.3,0.85,26.8,6,22.4,11.3
УрФУ,2022,9,72.1,65.4,56.2,12,78,4.2,25.6,28.9,35.6,41.2,6.8,5.4,11.2,7.8,3.4,13.5,1.8,5.6,22,1890000,18.9,91.2,956.8,72.3,6.4,218.9,71200,41.2,156.78,2345.6,6700,45600,589.4,1567.8,34.2,145.6,15.2,0.72,23.4,7,12.3,5.4
МИСиС,2022,10,81.2,72.6,61.8,28,134,9.8,32.4,34.7,46.8,49.3,9.4,15.6,14.5,10.2,4.3,18.9,2.3,7.8,28,2950000,28.7,89.4,1345.6,76.45,8.2,242.3,95400,52.1,167.89,2987.4,11200,67800,845.6,2234.7,39.8,156.3,17.2,0.81,25.6,5,15.8,7.8
