university,year,rank,egescore_avg,egescore_contract,egescore_min,olympiad_winners,olympiad_other,target_admission_share,magistracy_share,aspirantura_share,external_masters,external_grad_share,aspirants_per_100_students,target_contract_in_tech,foreign_students_share,foreign_non_cis,foreign_cis,foreign_graduated,mobility_outbound,foreign_staff_share,foreign_professors,niokr_total,niokr_share_total,niokr_own_share,niokr_per_npr,npr_with_degree_percent,npr_per_100_students,ppc_salary_index,avg_salary_grads,scopus_publications,risc_publications,risc_citations,foreign_niokr_income,foreign_edu_income,total_income_per_student,self_income_per_npr,self_income_share,lib_books_per_student,area_per_student,pc_per_student,young_npr_share,journals_published,grants_per_100_npr,competition
МГУ,2024,1,90.0,75.0,65.0,220,230,1.8,28.0,35.0,48.0,64.0,11.0,1.2,15.8,13.4,1.5,19.5,0.5,0.8,75,9500000,23.0,99.0,690.0,82.0,17.0,185.0,105000,3200,150,3100,25000,800000,1080.0,2120.0,42.0,250.0,22.0,0.65,19.0,70,10.5,7.7
МГТУ им. Баумана,2024,2,84.0,70.0,60.0,150,160,2.5,24.0,30.0,45.0,60.0,9.5,1.0,13.0,11.5,1.5,17.0,0.4,0.5,58,6300000,20.0,98.0,580.0,78.0,15.0,160.0,92000,2500,135,2400,18000,600000,950.0,1850.0,38.0,220.0,20.0,0.60,16.0,55,9.0,6.1
МФТИ,2024,3,87.8,74.0,62.0,180,190,1.9,26.0,32.0,46.0,62.0,10.0,1.1,11.8,10.5,1.3,18.5,0.45,0.6,62,7100000,21.0,99.0,630.0,80.0,16.0,170.0,97000,2800,140,2750,20000,650000,1020.0,1900.0,40.0,230.0,21.0,0.62,17.0,65,9.5,6.7
СПбГУ,2024,4,85.0,72.0,61.0,160,170,2.1,25.0,31.0,46.0,61.0,9.8,1.0,13.5,11.8,1.7,18.0,0.42,0.6,60,6700000,21.5,99.0,610.0,79.0,15.5,165.0,92000,2600,138,2550,19000,620000,1000.0,1880.0,39.0,225.0,20.5,0.61,16.5,60,9.2,6.2
НИУ ВШЭ,2024,5,86.5,73.0,63.0,170,175,2.0,26.5,33.0,47.0,62.0,10.2,1.0,14.0,12.0,2.0,18.8,0.43,0.7,63,7000000,22.0,99.0,650.0,79.5,16.2,168.0,95000,2700,140,2750,19500,630000,1025.0,1920.0,41.0,235.0,21.2,0.62,16.8,62,9.7,6.4
НИЯУ МИФИ,2024,6,83.5,71.0,60.0,140,150,2.3,24.5,31.5,45.5,61.0,9.2,1.0,12.8,11.7,1.3,17.2,0.39,0.55,59,6200000,20.5,98.0,600.0,77.5,15.2,162.0,90000,2400,130,2350,17000,580000,970.0,1800.0,37.0,215.0,19.8,0.58,15.5,50,8.5,5.9
РАНХиГС,2024,7,82.0,70.5,59.0,130,140,2.2,25.5,30.5,44.5,59.0,8.8,0.8,12.5,11.0,1.8,16.5,0.35,0.6,56,5800000,19.0,97.5,550.0,76.0,14.8,155.0,85000,2200,125,2100,15500,520000,920.0,1750.0,36.0,210.0,19.0,0.57,15.2,48,8.2,5.5
СПбПУ,2024,8,81.5,69.0,58.0,130,140,2.4,23.5,30.0,44.0,60.0,8.8,1.0,11.8,11.5,1.2,16.8,0.38,0.5,55,5900000,19.8,97.0,580.0,76.5,14.8,158.0,88000,2250,120,2200,16000,550000,950.0,1750.0,36.0,210.0,19.2,0.56,15.0,48,8.0,5.4
ИТМО,2024,9,80.5,68.5,57.5,125,135,2.6,23.0,29.5,44.0,60.0,8.5,1.0,11.2,11.2,1.2,16.5,0.36,0.5,54,5850000,19.5,97.0,575.0,76.0,14.5,157.0,87000,2220,118,2180,15500,540000,945.0,1730.0,35.0,205.0,19.0,0.55,15.0,46,7.8,5.3
ТПУ,2024,10,80.0,68.0,57.0,120,130,2.7,22.5,29.0,44.0,59.5,8.3,1.0,11.0,11.0,1.1,16.2,0.35,0.5,53,5800000,19.3,97.0,570.0,75.5,14.2,155.0,86000,2200,115,2150,15000,530000,940.0,1700.0,34.0,200.0,18.8,0.54,14.8,45,7.5,5.2
